Title	Author	Year	Movement	Rank	Other Movements
Poems of Georg Trakl	Georg Trakl	1913	Expressionism	9	
Morgue and Other Poems	Gottfried Benn	1912	Expressionism	10	
Murderer, the Hope of Women	Oskar Kokoschka	1909	Expressionism	12	
Umbra vitae	Georg Heym	1912	Expressionism	13	
The Son	Walter Hasenclever	1914	Expressionism	14	
The Burghers of Calais	Georg Kaiser	1914	Expressionism	15	
Naval Encounter	Reinhard Goering	1917	Expressionism	17	
The Founding and Manifesto of Futurism	F. T. Marinetti	1909	Futurism	1	
Technical Manifesto of Futurist Literature	F. T. Marinetti	1912	Futurism	2	
Zang Tumb Tumb	F. T. Marinetti	1914	Futurism	3	
Mafarka the Futurist	F. T. Marinetti	1910	Futurism	4	
A Slap in the Face of Public Taste	David Burliuk, Aleksei Kruchenykh, Vladimir Mayakovsky and Velimir Khlebnikov	1912	Futurism	5	
A Cloud in Trousers	Vladimir Mayakovsky	1915	Futurism	6	
Destruction of Syntax	F. T. Marinetti	1913	Futurism	7	
Dyr bul shchyl	Aleksei Kruchenykh	1913	Futurism	8	
The Incendiary	Aldo Palazzeschi	1910	Futurism	9	
Synthetic Futurist Theatre	F. T. Marinetti, Emilio Settimelli and Bruno Corra	1915	Futurism	10	
War, the Only Hygiene of the World	F. T. Marinetti	1915	Futurism	11	
150,000,000	Vladimir Mayakovsky	1921	Futurism	12	
Zangezi	Velimir Khlebnikov	1922	Futurism	13	
Electric Poems	Corrado Govoni	1911	Futurism	14	
Dada Manifesto	Tristan Tzara	1918	Dada	1	
Seven Dada Manifestos	Tristan Tzara	1924	Dada	2	
The First Heavenly Adventure of Mr. Antipyrine	Tristan Tzara	1916	Dada	3	
Twenty-Five Poems	Tristan Tzara	1918	Dada	4	
The Gas Heart	Tristan Tzara	1921	Dada	5	
Dada	Tristan Tzara	1917	Dada	6	
Flight Out of Time	Hugo Ball	1927	Dada	7	
Karawane	Hugo Ball	1916	Dada	8	
Anna Blume	Kurt Schwitters	1919	Dada	9	
Cabaret Voltaire	Hugo Ball	1916	Dada	10	
Fantastic Prayers	Richard Huelsenbeck	1916	Dada	11	
En avant Dada	Richard Huelsenbeck	1920	Dada	12	
The New Negro	Alain Locke	1925	Harlem Renaissance	1	
Cane	Jean Toomer	1923	Harlem Renaissance	2	Modernism
Their Eyes Were Watching God	Zora Neale Hurston	1937	Harlem Renaissance	3	
The Weary Blues	Langston Hughes	1926	Harlem Renaissance	4	
Home to Harlem	Claude McKay	1928	Harlem Renaissance	5	
Quicksand	Nella Larsen	1928	Harlem Renaissance	6	
Passing	Nella Larsen	1929	Harlem Renaissance	7	
Harlem Shadows	Claude McKay	1922	Harlem Renaissance	8	
The Souls of Black Folk	W. E. B. Du Bois	1903	Harlem Renaissance	9	
Color	Countee Cullen	1925	Harlem Renaissance	10	
If We Must Die	Claude McKay	1919	Harlem Renaissance	11	
The Negro Speaks of Rivers	Langston Hughes	1921	Harlem Renaissance	12	
Not Without Laughter	Langston Hughes	1930	Harlem Renaissance	13	
The Blacker the Berry	Wallace Thurman	1929	Harlem Renaissance	14	
Infants of the Spring	Wallace Thurman	1932	Harlem Renaissance	15	
Banjo	Claude McKay	1929	Harlem Renaissance	16	
Plum Bun	Jessie Redmon Fauset	1928	Harlem Renaissance	17	
There Is Confusion	Jessie Redmon Fauset	1924	Harlem Renaissance	18	
Fine Clothes to the Jew	Langston Hughes	1927	Harlem Renaissance	19	
The Book of American Negro Poetry	James Weldon Johnson	1922	Harlem Renaissance	20	
The Autobiography of an Ex-Colored Man	James Weldon Johnson	1912	Harlem Renaissance	21	
God's Trombones	James Weldon Johnson	1927	Harlem Renaissance	22	
Fire!!	Wallace Thurman	1926	Harlem Renaissance	23	
Mules and Men	Zora Neale Hurston	1935	Harlem Renaissance	24	
The Ways of White Folks	Langston Hughes	1934	Harlem Renaissance	25	
Waiting for Godot	Samuel Beckett	1953	Theatre of the Absurd	1	Existentialism, Modernism
The Bald Soprano	Eugène Ionesco	1950	Theatre of the Absurd	2	
Endgame	Samuel Beckett	1957	Theatre of the Absurd	3	
Rhinoceros	Eugène Ionesco	1959	Theatre of the Absurd	4	
The Chairs	Eugène Ionesco	1952	Theatre of the Absurd	5	
The Birthday Party	Harold Pinter	1957	Theatre of the Absurd	6	
The Balcony	Jean Genet	1957	Theatre of the Absurd	7	
The Maids	Jean Genet	1947	Theatre of the Absurd	8	
Krapp's Last Tape	Samuel Beckett	1958	Theatre of the Absurd	9	
The Caretaker	Harold Pinter	1960	Theatre of the Absurd	10	
The Blacks	Jean Genet	1959	Theatre of the Absurd	11	
The Zoo Story	Edward Albee	1959	Theatre of the Absurd	12	
Who's Afraid of Virginia Woolf?	Edward Albee	1962	Theatre of the Absurd	13	
The Killer	Eugène Ionesco	1959	Theatre of the Absurd	14	
The Homecoming	Harold Pinter	1964	Theatre of the Absurd	15	
Rosencrantz and Guildenstern Are Dead	Tom Stoppard	1966	Theatre of the Absurd	16	
The Dumb Waiter	Harold Pinter	1957	Theatre of the Absurd	17	
Amédée	Eugène Ionesco	1954	Theatre of the Absurd	18	
The American Dream	Edward Albee	1961	Theatre of the Absurd	19	
Ping-Pong	Arthur Adamov	1955	Theatre of the Absurd	20	
The Theatre of the Absurd	Martin Esslin	1961	Theatre of the Absurd	21	
Exit the King	Eugène Ionesco	1962	Theatre of the Absurd	22	
Happy Days	Samuel Beckett	1961	Theatre of the Absurd	23	
On the Road	Jack Kerouac	1957	Beat Generation	1	
Howl and Other Poems	Allen Ginsberg	1956	Beat Generation	2	
Naked Lunch	William S. Burroughs	1959	Beat Generation	3	Postmodernism
The Dharma Bums	Jack Kerouac	1958	Beat Generation	4	
Junky	William S. Burroughs	1953	Beat Generation	5	
A Coney Island of the Mind	Lawrence Ferlinghetti	1958	Beat Generation	6	
Kaddish and Other Poems	Allen Ginsberg	1961	Beat Generation	7	
Gasoline	Gregory Corso	1958	Beat Generation	8	
Visions of Cody	Jack Kerouac	1972	Beat Generation	9	
Big Sur	Jack Kerouac	1962	Beat Generation	10	
The Subterraneans	Jack Kerouac	1958	Beat Generation	11	
Mexico City Blues	Jack Kerouac	1959	Beat Generation	12	
The Yage Letters	William S. Burroughs and Allen Ginsberg	1963	Beat Generation	13	
Pictures of the Gone World	Lawrence Ferlinghetti	1955	Beat Generation	14	
Desolation Angels	Jack Kerouac	1965	Beat Generation	15	
Bomb	Gregory Corso	1958	Beat Generation	16	
Reality Sandwiches	Allen Ginsberg	1963	Beat Generation	17	
The Town and the City	Jack Kerouac	1950	Beat Generation	18	
Memoirs of a Beatnik	Diane di Prima	1969	Beat Generation	19	
Riprap	Gary Snyder	1959	Beat Generation	20	
One Hundred Years of Solitude	Gabriel García Márquez	1967	Magical realism	1	Postcolonial literature, Postmodernism
The Kingdom of This World	Alejo Carpentier	1949	Magical realism	2	
The House of the Spirits	Isabel Allende	1982	Magical realism	4	
Beloved	Toni Morrison	1987	Magical realism	5	Postmodernism, Postcolonial literature
Pedro Páramo	Juan Rulfo	1955	Magical realism	7	
Love in the Time of Cholera	Gabriel García Márquez	1985	Magical realism	8	
The Master and Margarita	Mikhail Bulgakov	1967	Magical realism	9	
Like Water for Chocolate	Laura Esquivel	1989	Magical realism	10	
The Famished Road	Ben Okri	1991	Magical realism	11	Postcolonial literature
Chronicle of a Death Foretold	Gabriel García Márquez	1981	Magical realism	12	
The Lost Steps	Alejo Carpentier	1953	Magical realism	13	
Aura	Carlos Fuentes	1962	Magical realism	14	
The Tin Drum	Günter Grass	1959	Magical realism	15	
Red Sorghum	Mo Yan	1986	Magical realism	16	
The Wind-Up Bird Chronicle	Haruki Murakami	1994	Magical realism	17	
The Aleph	Jorge Luis Borges	1949	Magical realism	18	
Nights at the Circus	Angela Carter	1984	Magical realism	19	
Song of Solomon	Toni Morrison	1977	Magical realism	20	
The Autumn of the Patriarch	Gabriel García Márquez	1975	Magical realism	21	
Distant Star	Roberto Bolaño	1996	Magical realism	22	
Infinite Jest	David Foster Wallace	1996	New Sincerity	1	Postmodernism
E Unibus Pluram	David Foster Wallace	1993	New Sincerity	2	
A Heartbreaking Work of Staggering Genius	Dave Eggers	2000	New Sincerity	3	
CivilWarLand in Bad Decline	George Saunders	1996	New Sincerity	4	
The Corrections	Jonathan Franzen	2001	New Sincerity	5	
Brief Interviews with Hideous Men	David Foster Wallace	1999	New Sincerity	6	
Lincoln in the Bardo	George Saunders	2017	New Sincerity	7	
Tenth of December	George Saunders	2013	New Sincerity	8	
The Amazing Adventures of Kavalier & Clay	Michael Chabon	2000	New Sincerity	9	
The Brief Wondrous Life of Oscar Wao	Junot Díaz	2007	New Sincerity	10	
A Visit from the Goon Squad	Jennifer Egan	2010	New Sincerity	11	
Pastoralia	George Saunders	2000	New Sincerity	12	
This Is Water	David Foster Wallace	2005	New Sincerity	13	
The Pale King	David Foster Wallace	2011	New Sincerity	14	
How Should a Person Be?	Sheila Heti	2010	New Sincerity	15	
Epic of Gilgamesh	Anonymous (Sîn-lēqi-unninni, attrib.)	c. 1200 BCE	None / Pre-movement		
Iliad	Homer	c. 750 BCE	None / Pre-movement		
Odyssey	Homer	c. 725 BCE	None / Pre-movement		
Theogony	Hesiod	c. 700 BCE	None / Pre-movement		
Poems (fragments)	Sappho	c. 600 BCE	None / Pre-movement		
Oresteia	Aeschylus	458 BCE	None / Pre-movement		
Antigone	Sophocles	c. 441 BCE	None / Pre-movement		
Oedipus Rex	Sophocles	c. 429 BCE	None / Pre-movement		
Medea	Euripides	431 BCE	None / Pre-movement		
The Bacchae	Euripides	c. 405 BCE	None / Pre-movement		
Lysistrata	Aristophanes	411 BCE	None / Pre-movement		
The Histories	Herodotus	c. 430 BCE	None / Pre-movement		
Poetics	Aristotle	c. 335 BCE	None / Pre-movement		
Idylls	Theocritus	c. 270 BCE	None / Pre-movement		Alexandrian school
Argonautica	Apollonius of Rhodes	c. 250 BCE	None / Pre-movement		Alexandrian school
Carmina	Catullus	c. 54 BCE	None / Pre-movement		Neoteric poets
Eclogues	Virgil	c. 37 BCE	None / Pre-movement		
Georgics	Virgil	29 BCE	None / Pre-movement		
Aeneid	Virgil	19 BCE	None / Pre-movement		
Odes	Horace	23 BCE	None / Pre-movement		
Ars Poetica	Horace	c. 18 BCE	None / Pre-movement		
Metamorphoses	Ovid	8 CE	None / Pre-movement		
The Golden Ass	Apuleius	c. 170 CE	None / Pre-movement		
Meditations	Marcus Aurelius	c. 175 CE	None / Pre-movement		
Mahabharata	Vyasa (attrib.)	c. 400 BCE–400 CE	None / Pre-movement		
Ramayana	Valmiki (attrib.)	c. 300 BCE	None / Pre-movement		
The Analects	Confucius (disciples)	c. 450 BCE	None / Pre-movement		
Tao Te Ching	Laozi (attrib.)	c. 400 BCE	None / Pre-movement		
Confessions	Augustine of Hippo	c. 400 CE	None / Pre-movement		
The Consolation of Philosophy	Boethius	c. 524 CE	None / Pre-movement		
Beowulf	Anonymous	c. 900	None / Pre-movement		
One Thousand and One Nights	Anonymous	c. 900–1400	None / Pre-movement		
The Pillow Book	Sei Shōnagon	c. 1002	None / Pre-movement		
The Tale of Genji	Murasaki Shikibu	c. 1010	None / Pre-movement		
The Song of Roland	Anonymous	c. 1100	None / Pre-movement		
The Nibelungenlied	Anonymous	c. 1200	None / Pre-movement		
Njáls saga	Anonymous	c. 1280	None / Pre-movement		
The Divine Comedy	Dante Alighieri	1320	None / Pre-movement		
The Decameron	Giovanni Boccaccio	c. 1353	None / Pre-movement		
Sir Gawain and the Green Knight	Gawain Poet	c. 1375	None / Pre-movement		
Piers Plowman	William Langland	c. 1380	None / Pre-movement		
Troilus and Criseyde	Geoffrey Chaucer	c. 1385	None / Pre-movement		
The Canterbury Tales	Geoffrey Chaucer	c. 1400	None / Pre-movement		
The Book of the City of Ladies	Christine de Pizan	1405	None / Pre-movement		
Le Morte d'Arthur	Thomas Malory	1485	None / Pre-movement		
The Praise of Folly	Erasmus	1511	None / Pre-movement		Humanism
Utopia	Thomas More	1516	None / Pre-movement		Humanism
Gargantua and Pantagruel	François Rabelais	1532	None / Pre-movement		Humanism
The Life of Lazarillo de Tormes	Anonymous	1554	None / Pre-movement		
Essays	Michel de Montaigne	1580	None / Pre-movement		Humanism
The Faerie Queene	Edmund Spenser	1590	None / Pre-movement		
Doctor Faustus	Christopher Marlowe	1592	None / Pre-movement		
Journey to the West	Wu Cheng'en (attrib.)	1592	None / Pre-movement		
Hamlet	William Shakespeare	1600	None / Pre-movement		
Othello	William Shakespeare	1603	None / Pre-movement		
Don Quixote	Miguel de Cervantes	1605	None / Pre-movement		
King Lear	William Shakespeare	1606	None / Pre-movement		
Macbeth	William Shakespeare	1606	None / Pre-movement		
Sonnets	William Shakespeare	1609	None / Pre-movement		Petrarchism
Paradise Lost	John Milton	1667	None / Pre-movement		Baroque
Sense and Sensibility	Jane Austen	1811	None / Pre-movement		Realism
Pride and Prejudice	Jane Austen	1813	None / Pre-movement		Realism
Mansfield Park	Jane Austen	1814	None / Pre-movement		Realism
Emma	Jane Austen	1815	None / Pre-movement		Realism
Persuasion	Jane Austen	1817	None / Pre-movement		Realism
